peopleCd,peopleNm,repRoleNm,filmoNames
10031641,봉준호,감독,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!"
10000296,가이 리치,감독,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈
10034380,사이먼 킨버그,,엑스맨: 다크 피닉스|링컨: 뱀파이어 헌터
10027387,미야자키 하야오,감독,바람이 분다|벼랑 위의 포뇨|하울의 움직이는 성|붉은 돼지|센과 치히로의 행방불명|모노노케 히메|마녀배달부 키키|이웃집 토토로|천공의 성 라퓨타|바람계곡의 나우시카|루팡 3세: 칼리오스트로의 성|팬더와 친구들의 모험
10012399,덱스터 플레처,배우,로켓맨|잇 로컬|독수리 에디|선샤인 온 리스|와일드 빌|스탠더|록 스탁 앤 2 스모킹 배럴즈|죽어도 좋아
20149274,이원태,음악진행,품행제로
10022882,마이클 도허티,감독,고질라: 킹 오브 몬스터|트릭 오어 트릿
20307519,박신우,감독,어항 밖 물고기
20188501,서정신우,감독,버블 패밀리|다른 세상에서|블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들|블랙 가스펠|대구에서|과대망상자들|고란살|제16회 대구단편영화제 경쟁5|AISFF2015 국내경쟁 2|서울독립영화제2015 새로운선택 1|로컬시네마 WITH JIFF : 제16회 전주국제영화제 한국단편경쟁부분 수상작
20200706,강신우,지미집,협상|인랑|물괴|지금 만나러 갑니다|흥부: 글로 세상을 바꾼 자|조작된 도시|아수라|밀정|두근두근 내 인생|사냥
20239986,신우정,미술/프로덕션 디자인,레슬러|메리 크리스마스 미스터 모|굿바이 싱글|블랙스톤|미스터 쿠퍼
20161294,이신우,VFX 아티스트,"신과함께-인과 연|신과함께-죄와 벌|대립군|리얼|고산자, 대동여지도|퀵|헤드|써니|여의도|초능력자|북극의 눈물"
20052854,신우성,투자,레슬러|지금 만나러 갑니다|1987|브이아이피|군함도|1급기밀|인형사|쇼쇼쇼(Show Show Show)|베사메무쵸
10043421,안소니 루소,감독,어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드
20151053,유선동,촬영장비,뽀삐
10091258,F. 게리 그레이,감독,맨 인 블랙: 인터내셔널|분노의 질주: 더 익스트림|스트레이트 아웃 오브 컴턴|모범시민|쿨|빈 디젤의 디아블로|이탈리안 잡|네고시에이터|셋잇오프 
10066410,로버트 페르난데스,감독,천로역정: 천국을 찾아서
10009032,닐 버거,감독,업사이드|다이버전트|리미트리스|럭키 원스|일루셔니스트
10027082,미미 레더,감독,세상을 바꾼 변호인|코드|사라 실종 사건|아름다운 세상을 위하여|딥 임팩트|피스메이커
10023314,조시 쿨리,감독,토이 스토리 4
20135280,강윤성,애니메이션팀,유아독존
10071639,채드 스타헬스키,배우,존 윅 3: 파라벨룸|존 윅 - 리로드|존 윅: 특별판|존 윅|네미시스 2 
10008737,라스 클리브버그,감독,사탄의 인형|폴라로이드
10018162,게리 도버먼,감독,애나벨 집으로
20159373,이정호,제작팀,보안관|라라 선샤인|밤과 낮|스카우트|사랑|소년은 울지 않는다
10009058,닐 조단,감독,마담 싸이코|온딘|브레이브 원|플루토에서 아침을|더블 다운|사랑의 슬픔 애수|인드림스|푸줏간 소년 |마이클 콜린스 |뱀파이어와의 인터뷰 |크라잉 게임|두번째 이별|모나리자
10038689,존 왓츠,감독,스파이더맨: 파 프롬 홈|스파이더맨: 홈 커밍|캅카
